Epoch,Train Loss,Validation Accuracy,Precision,Recall,F1 Score,Learning Rate
1,0.007671404689497465,0.9858156028368794,0.9861206436360864,0.9858156028368794,0.9857479532053338,2e-05
2,0.0025232369824582266,1.0,1.0,1.0,1.0,2e-05
3,0.0006981172084437805,1.0,1.0,1.0,1.0,2e-05
4,0.0002881141171044609,1.0,1.0,1.0,1.0,2e-05
5,0.000181493111993608,1.0,1.0,1.0,1.0,2e-05
6,0.00014407383972782226,1.0,1.0,1.0,1.0,2e-05
Test,,1.0,1.0,1.0,1.0,
1,0.00922855358987676,0.9432624113475178,0.9478472669962033,0.9432624113475178,0.9419900352175536,1e-05
2,0.0052274940651221135,1.0,1.0,1.0,1.0,1e-05
3,0.0026879326488366134,1.0,1.0,1.0,1.0,1e-05
4,0.0012885986845510256,0.9929078014184397,0.9930468641357251,0.9929078014184397,0.9929233196036189,1e-05
5,0.0007109986469281927,0.9929078014184397,0.9930468641357251,0.9929078014184397,0.9929233196036189,1e-05
6,0.00044374569562358077,1.0,1.0,1.0,1.0,1e-05
Test,,0.9896373056994818,0.9896373056994818,0.9896373056994818,0.9896373056994818,
