model_name,dataset_name,avg_accuracy,std_accuracy,avg_f1_macro,std_f1_macro,avg_roc_auc,std_roc_auc
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 9,0.9951485212752816,0.006576596341428275,0.99415347748347,0.0079398658531287,0.9999366889629387,9.71854116474641e-05
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 9,0.9943400625523321,0.003725247508635753,0.9931606410687088,0.0047570584205125135,0.9996580902154092,0.0006511984332999431
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 9,0.9911929953925108,0.004632950089059467,0.9902476561952517,0.005121336334470826,0.9995700751329881,0.00038887968077237935
facebook/opt-125m,Изъяты лексемы с частотой выше 9,0.9163893632233435,0.011089369675486889,0.9050165334924148,0.010110988314126223,0.9695893339454291,0.01326845609405817
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 9,0.8728931592967663,0.03534406352809302,0.8220781934495447,0.06342726114165037,0.9497051455761717,0.041536196863410486
gpt2,Изъяты лексемы с частотой выше 9,0.7761668951819282,0.01890025347269817,0.6960580346294893,0.05248493728521723,0.837597792860136,0.04425182206407275
roberta-base,Изъяты лексемы с частотой выше 9,0.7145813639019144,0.07129746280894192,0.5645872932403567,0.15659006664483327,0.9101021338388384,0.017432715283724837
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 5,0.9567612750511305,0.02844584786194714,0.949937109838706,0.03301818579701477,0.9971333097619421,0.0027101638383096372
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 5,0.9076125948175359,0.1236186015986262,0.8746602278383676,0.1836382907565844,0.9969273839141671,0.002504223042793612
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 5,0.7368163319435315,0.06377915329295429,0.5591084193416656,0.1248134735030472,0.9057308641696964,0.047857368650851516
gpt2,Изъяты лексемы с частотой выше 5,0.7002086027220636,0.028976301230076957,0.4347445212240719,0.02960438608679042,0.6341998375626857,0.14503471683368988
roberta-base,Изъяты лексемы с частотой выше 5,0.669884343418206,0.04241557241883566,0.4007684151999158,0.015268184806354262,0.7489100190956933,0.03764656393086439
facebook/opt-125m,Изъяты лексемы с частотой выше 5,0.6645126828800566,0.02479930568182211,0.4602464559734676,0.051634253067022795,0.8156787984389684,0.05919994076041678
