model_name,dataset_name,avg_accuracy,std_accuracy,avg_f1_macro,std_f1_macro,avg_roc_auc,std_roc_auc
DeepPavlov/rubert-base-cased,Без прилагательных второй жанр,0.9941954268618444,0.0051557225245738815,0.9934881809117345,0.005628460694077518,0.9998941732157277,0.00013858100172199384
sberbank-ai/rugpt3small_based_on_gpt2,Без прилагательных второй жанр,0.9917009953147099,0.004700604045037099,0.9911727727069778,0.004980136873180195,0.9997787083769456,0.0002155804980033835
bert-base-multilingual-cased,Без прилагательных второй жанр,0.9858494645282948,0.006548398371377456,0.9846460532772122,0.007441271628302361,0.999521714149075,0.000613231947277668
facebook/opt-125m,Без прилагательных второй жанр,0.9290192989832832,0.0363231628596347,0.9270933518519738,0.03694449987711072,0.9833948753775278,0.01087769102992427
distilbert-base-multilingual-cased,Без прилагательных второй жанр,0.8797873428395215,0.09135712575833875,0.8760487540833984,0.08925431602936343,0.9899834280934504,0.004811440711737188
roberta-base,Без прилагательных второй жанр,0.7311198787853636,0.07453732355273521,0.7141663465001667,0.07646664746673408,0.8985994385497899,0.024290976314840416
gpt2,Без прилагательных второй жанр,0.667376549114171,0.05702334076259845,0.6615007017399638,0.05063101226984813,0.8510950262722005,0.020182093374796227
bert-base-multilingual-cased,"4.Первый жанр без клауз, включающих глаголы и наречия",0.9818341246723429,0.0045154964340579805,0.9789005856031795,0.0051465959564464476,0.9993264096940973,0.0003687661099848737
sberbank-ai/rugpt3small_based_on_gpt2,"4.Первый жанр без клауз, включающих глаголы и наречия",0.9659381263106613,0.01145503670045865,0.9607984659544382,0.012851885766745676,0.9979925792986294,0.001326478627083148
DeepPavlov/rubert-base-cased,"4.Первый жанр без клауз, включающих глаголы и наречия",0.9479850369833267,0.045125842820472696,0.9425914635800754,0.04865741137600544,0.9913755367028166,0.01099300805893245
facebook/opt-125m,"4.Первый жанр без клауз, включающих глаголы и наречия",0.8706014761475088,0.0452390431176322,0.8587069902859082,0.045659537275004644,0.9710870686983307,0.008188062790476848
gpt2,"4.Первый жанр без клауз, включающих глаголы и наречия",0.7400067490938415,0.05780389588669079,0.7146393834981043,0.04769663417449124,0.8168015834922971,0.02285296429174029
distilbert-base-multilingual-cased,"4.Первый жанр без клауз, включающих глаголы и наречия",0.726884403713771,0.08594606605368842,0.5388664561318952,0.18261280922696774,0.8405865193824353,0.042058146542690515
roberta-base,"4.Первый жанр без клауз, включающих глаголы и наречия",0.658562193772947,0.07529965312813937,0.42269505477116837,0.032230865913194184,0.8445700804560867,0.03682816133257134
DeepPavlov/rubert-base-cased,"3.Первый жанр без клауз, включающих глаголы",0.9852377755961758,0.0064390290055203105,0.9836691822172369,0.006781233612441824,0.9996335987749226,0.00024873921579804967
bert-base-multilingual-cased,"3.Первый жанр без клауз, включающих глаголы",0.9762880789451996,0.010018603300014313,0.9740776762732946,0.011069579341879455,0.9970867252823216,0.005191680232627689
sberbank-ai/rugpt3small_based_on_gpt2,"3.Первый жанр без клауз, включающих глаголы",0.9757589546180307,0.006468313346038424,0.9734698020866097,0.006875056458257344,0.9985239446077547,0.0007988137925702594
facebook/opt-125m,"3.Первый жанр без клауз, включающих глаголы",0.9079252046653407,0.028048207428441926,0.9001167510851786,0.028934724232083396,0.975694084264546,0.00782650045841145
gpt2,"3.Первый жанр без клауз, включающих глаголы",0.7257048703448404,0.035282216170894866,0.6438142833168038,0.08273903873478494,0.8084454167234164,0.052641754483301245
roberta-base,"3.Первый жанр без клауз, включающих глаголы",0.658732377313134,0.024976166677087738,0.39699283689059334,0.009109565119520257,0.8199096047587647,0.04331869478240821
distilbert-base-multilingual-cased,"3.Первый жанр без клауз, включающих глаголы",0.6576999871819548,0.018799801950793935,0.3966767136185425,0.006862340885989761,0.8320141825110633,0.047004354583273164
bert-base-multilingual-cased,"2.Первый жанр без клауз, включающих наречия",0.9854760782251392,0.012313947591260466,0.9852477530143763,0.012392580570209758,0.9934474351813062,0.01044177614890156
DeepPavlov/rubert-base-cased,"2.Первый жанр без клауз, включающих наречия",0.9852025806233855,0.003288728947423423,0.9849293659883399,0.003428375239142739,0.9994701384974661,0.0003159229901671049
sberbank-ai/rugpt3small_based_on_gpt2,"2.Первый жанр без клауз, включающих наречия",0.9775966558750526,0.0108805340378676,0.977053173255846,0.011277045226701397,0.9990821656051873,0.0006938166908081275
facebook/opt-125m,"2.Первый жанр без клауз, включающих наречия",0.9461281083527385,0.00535696153576838,0.9444240488915311,0.006564380095429892,0.9855270976186805,0.004467216526878394
gpt2,"2.Первый жанр без клауз, включающих наречия",0.7857987642679952,0.034474760387729786,0.772127906768337,0.030436573501347288,0.8830808385635329,0.050591828216341714
roberta-base,"2.Первый жанр без клауз, включающих наречия",0.6070728538400244,0.0860513361129549,0.4346711613269912,0.16092866494164454,0.8446280538618036,0.030639480371475455
distilbert-base-multilingual-cased,"2.Первый жанр без клауз, включающих наречия",0.5705951775508981,0.01640656690685758,0.36322838671980784,0.0067307987112297536,0.8378389133257066,0.028688538478126507
DeepPavlov/rubert-base-cased,1.Первый жанр исходная выборка,0.993951563831082,0.00493361164941531,0.9938901534628317,0.004980019697829678,0.9981342578226687,0.0037819085745880872
bert-base-multilingual-cased,1.Первый жанр исходная выборка,0.9898936671867093,0.008279535008399482,0.9895517368463135,0.008746423618363898,0.995252588356907,0.00976583311266047
sberbank-ai/rugpt3small_based_on_gpt2,1.Первый жанр исходная выборка,0.9861907097463757,0.008202441317653955,0.9860280425157154,0.008294945792565017,0.9995939927243006,0.0004656358559389353
facebook/opt-125m,1.Первый жанр исходная выборка,0.9251327900268214,0.01880402463942108,0.9243198788454573,0.01879226384656864,0.9819156156324752,0.0037573579085635467
gpt2,1.Первый жанр исходная выборка,0.6678715456296378,0.07046533635030228,0.61682779905391,0.10963648424096019,0.8356486122744741,0.052938135366976204
distilbert-base-multilingual-cased,1.Первый жанр исходная выборка,0.567086413474707,0.01993499519329087,0.3617717020675935,0.007970925831416715,0.8559004122429097,0.022779071955835138
roberta-base,1.Первый жанр исходная выборка,0.557005263249657,0.011990861838185323,0.35770299275770107,0.004988975300364768,0.8405322122024722,0.022962257344755262
