model_name,dataset_name,avg_accuracy,std_accuracy,avg_f1_macro,std_f1_macro,avg_roc_auc,std_roc_auc
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 9,0.9959055107833598,0.003135527191132232,0.995100557653053,0.0037859144433729803,0.9999692592521372,4.532308251548286e-05
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 9,0.994106898340661,0.002826632954576409,0.9929209609137782,0.003325439506036856,0.9996096541721041,0.0007192852266645593
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 9,0.9911809427363716,0.0019052329605830933,0.9902400476574001,0.0021333033484157793,0.9995562402403154,0.0007827520438396147
facebook/opt-125m,Изъяты лексемы с частотой выше 9,0.9509622475353282,0.014763182692786474,0.9420566508421602,0.01821950194284506,0.9811668812950808,0.008264912931722134
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 9,0.8940515110332296,0.037619583633878864,0.860429762883555,0.058766440333858305,0.9585754600200911,0.028801176362550248
gpt2,Изъяты лексемы с частотой выше 9,0.8139392768652797,0.018484098193345316,0.7599653890975357,0.02888340162138805,0.9063985663155942,0.013293646798091845
xlm-roberta-base,Изъяты лексемы с частотой выше 9,0.8002753741001047,0.09163646393224018,0.7075281919465851,0.1849845332883619,0.8805321178921064,0.09601872569763448
xlnet-base-cased,Изъяты лексемы с частотой выше 9,0.721545417964092,0.017436525504417644,0.55528231728632,0.13757440307130597,0.8385808721070543,0.016296384393231094
roberta-base,Изъяты лексемы с частотой выше 9,0.7093599036440077,0.07026554168213014,0.5654929932031572,0.15745107916994366,0.9099358558503757,0.029068052191003887
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 5,0.9685510235249503,0.02041845423003087,0.9645929989759576,0.021425312716720574,0.9933947009883836,0.005621617101807716
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 5,0.9622273011665947,0.020093965876019006,0.9542979747857075,0.02641663824822774,0.9954929915702682,0.0046944554239453885
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 5,0.9069342604317905,0.037966136189791375,0.8783522173706101,0.058438881770904394,0.9936173590969254,0.00482460987363842
facebook/opt-125m,Изъяты лексемы с частотой выше 5,0.7890449573789472,0.030097950073789823,0.7539036249565717,0.030304033694049128,0.8589433268552608,0.04426602074307489
gpt2,Изъяты лексемы с частотой выше 5,0.7504312578080027,0.032218738443356494,0.5573636139991627,0.11279682666318284,0.8190789787119751,0.026096261471492865
xlm-roberta-base,Изъяты лексемы с частотой выше 5,0.6915761134099739,0.049496267423886485,0.40831349129116606,0.01784290906153224,0.6564031586661704,0.016856311497621436
xlnet-base-cased,Изъяты лексемы с частотой выше 5,0.6793394682243612,0.024533982297660576,0.4044016806620714,0.008632432133121927,0.6824528880481436,0.021128922435009027
roberta-base,Изъяты лексемы с частотой выше 5,0.669884343418206,0.04241557241883566,0.4007684151999158,0.015268184806354262,0.746179603768093,0.0839019519469284
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 5,0.6626326556264623,0.04719806229495893,0.39805615865865657,0.01719757497420827,0.8134905204656341,0.0463491047727489
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 49,0.9955953981707975,0.0019825477614518246,0.9954305180755737,0.0020515741137731055,0.9994475485135896,0.0005837973876454464
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 49,0.987554617705507,0.005727985018907648,0.9871681621954896,0.005885675901959545,0.9970099853136528,0.004889836650277865
facebook/opt-125m,Изъяты лексемы с частотой выше 49,0.9561030043982198,0.01298162713893673,0.9540875529377616,0.013279311091781685,0.9887732079233044,0.007942820639449493
gpt2,Изъяты лексемы с частотой выше 49,0.9033514358948658,0.029721537430618995,0.897137206744539,0.03201468709361037,0.9637359257042432,0.007861131920093873
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 49,0.8789107116335471,0.2363361609490526,0.8635350777515719,0.2677406776427967,0.9924804909427053,0.01484105033421878
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 49,0.8630080385940359,0.13090697421168682,0.8212683338677204,0.2083700348113005,0.9834245302448412,0.008708125197659275
xlm-roberta-base,Изъяты лексемы с частотой выше 49,0.6722916014790661,0.187724461664475,0.5365290428685394,0.25638894829209813,0.9077434986674527,0.07716007906683726
xlnet-base-cased,Изъяты лексемы с частотой выше 49,0.6290263494653812,0.04658577142948911,0.4778243813929319,0.1452378863396148,0.7591359695663559,0.06312319788201763
roberta-base,Изъяты лексемы с частотой выше 49,0.5992031302732977,0.03121119187768779,0.37444877219464395,0.01229032592264484,0.8773017296112777,0.030728523948253244
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 3,0.9707894679043836,0.019435688805651812,0.9661574864765026,0.024613383079989202,0.997611196117886,0.002722775540130273
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 3,0.9603233548775147,0.03240829668033489,0.9543367818378252,0.03840581401449512,0.9966989873664484,0.004138701001906349
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 3,0.879798259454491,0.04557879319052372,0.8535059219825456,0.06330557000899197,0.9919770459438978,0.003337105233592139
facebook/opt-125m,Изъяты лексемы с частотой выше 3,0.7741310880894766,0.028256515970036214,0.7145737989089532,0.04683668167627894,0.8983354308968473,0.0216655368471162
gpt2,Изъяты лексемы с частотой выше 3,0.7152052703821233,0.054753110905747665,0.5836694628593534,0.10049533714892343,0.8101063050971011,0.03207179924473106
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 3,0.64979971001551,0.025543281766211966,0.3937220802614911,0.009285441201404943,0.7911994924931046,0.015270017567290833
roberta-base,Изъяты лексемы с частотой выше 3,0.647020708717467,0.021749638100093546,0.39273642595987274,0.00807812886397387,0.758239719333298,0.03744879975903401
xlnet-base-cased,Изъяты лексемы с частотой выше 3,0.6429538143405059,0.028837221527085073,0.3911550892706843,0.010546617609102102,0.6968131949957116,0.02194458420863334
xlm-roberta-base,Изъяты лексемы с частотой выше 3,0.634566963075284,0.03347185389540502,0.3879643750278606,0.012348203804481588,0.6534743522516478,0.02099346069287003
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 29,0.9935570490887745,0.0036645235861045783,0.9931949436416808,0.0038821881299562367,0.9998992162070311,0.0001431949353812229
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 29,0.9898129438547683,0.0057491664131519,0.9893723262741982,0.005743431874687379,0.9960594719163377,0.004717025251147086
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 29,0.9651015325557207,0.0278265968953446,0.9614180492282416,0.030258822269292045,0.9945529587880269,0.007260367116650997
facebook/opt-125m,Изъяты лексемы с частотой выше 29,0.9175048836087448,0.025010383188170244,0.9134903338525183,0.025142002151307814,0.972409089718059,0.009775952445977176
gpt2,Изъяты лексемы с частотой выше 29,0.907949872403782,0.023291668580454367,0.9001394754534479,0.02751530121154065,0.9676546673212615,0.01308354342938716
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 29,0.8589246730829067,0.1063121083920643,0.8120539479756067,0.19402239973066465,0.9457514995432477,0.050980949824783905
xlm-roberta-base,Изъяты лексемы с частотой выше 29,0.6950520707119433,0.18651733771895287,0.6020412331287072,0.2665776365235884,0.801555159871073,0.2571557996756526
xlnet-base-cased,Изъяты лексемы с частотой выше 29,0.6713752816374295,0.04627624809339746,0.6319437654132631,0.11678494063961475,0.7984805725552496,0.04248676704624686
roberta-base,Изъяты лексемы с частотой выше 29,0.6661036877869927,0.09640535550096117,0.4660062248286431,0.18324640452547067,0.8877961825103905,0.02910201704236858
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 100,0.9939788334973834,0.0035994663677668287,0.9936639917582881,0.003771344319326208,0.9997006089443281,0.0003406548617225102
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 100,0.986130922613884,0.008845645381918864,0.9854408539518739,0.00931838413943524,0.999260080385346,0.0007164194721463404
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 100,0.9507082793174764,0.06494560507345094,0.9499133274165731,0.06472780912334522,0.9971658065680945,0.0024498982450753253
facebook/opt-125m,Изъяты лексемы с частотой выше 100,0.9365143171799509,0.028325305009528248,0.9308332032441137,0.032111047136299885,0.9831966857228451,0.009635739841673553
gpt2,Изъяты лексемы с частотой выше 100,0.920845897184963,0.015839588982853526,0.9161022707274373,0.018069268802182376,0.9739599808761915,0.007887577599457832
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 100,0.7113755236270335,0.23380825269232886,0.6256263149846227,0.3036724453112644,0.9549443217191275,0.04526688562842333
roberta-base,Изъяты лексемы с частотой выше 100,0.7053829907586713,0.13882555255717935,0.5508469198276251,0.24463096704816725,0.9143564780294519,0.02440704191980247
xlm-roberta-base,Изъяты лексемы с частотой выше 100,0.6713462511651,0.23218319212875774,0.5514716618993591,0.3037111203177311,0.9198719285501517,0.06150414038224564
xlnet-base-cased,Изъяты лексемы с частотой выше 100,0.6331151524595083,0.053793628510518346,0.4790479565196833,0.14766687785633406,0.7918283211016193,0.06764988873432652
