model_name,dataset_name,avg_accuracy,std_accuracy,avg_f1_macro,std_f1_macro,avg_roc_auc,std_roc_auc
bert-base-multilingual-cased,Без прилагательных первый-второй жанр,0.9907528677345002,0.006076593596578284,0.9901233033657529,0.006372018689443709,0.9994637969676372,0.0006194348039530287
DeepPavlov/rubert-base-cased,Без прилагательных первый-второй жанр,0.989849695123456,0.006620021277113366,0.9887801779966704,0.006867796852268029,0.9998133747852648,0.00010374336915329291
sberbank-ai/rugpt3small_based_on_gpt2,Без прилагательных первый-второй жанр,0.9760668049104986,0.02296885360718337,0.9746920439815362,0.02386670224759489,0.9995837096612492,0.00030517997701830614
facebook/opt-125m,Без прилагательных первый-второй жанр,0.943883799806181,0.02091713779662577,0.9416510921135618,0.021011505543106667,0.9830698417971084,0.005558106727744002
distilbert-base-multilingual-cased,Без прилагательных первый-второй жанр,0.925118082158895,0.0335909689311714,0.9187384049010379,0.03316082609831157,0.9905687961417372,0.00446983773212622
gpt2,Без прилагательных первый-второй жанр,0.8109407933847662,0.042659201504593416,0.8067102938448989,0.03796117914386471,0.9338133770794399,0.009917494653382597
roberta-base,Без прилагательных первый-второй жанр,0.7303951488073356,0.0905316744848003,0.6825489140073904,0.16039980680429733,0.9023376372285883,0.018986336444516534
xlm-roberta-base,Без прилагательных первый-второй жанр,0.7062809563882008,0.2442055627868586,0.6837370637629596,0.27249316486537584,0.9855122366575991,0.004337292753390438
xlnet-base-cased,Без прилагательных первый-второй жанр,0.7020847196053003,0.025196317194937288,0.6764511493084461,0.06880391340988673,0.7994739272728465,0.017115927644417647
bert-base-multilingual-cased,6.без слов функциональных.txt,0.9879660719574352,0.01023057331137317,0.9873716654133357,0.010973396571287788,0.9942921761806436,0.0058765659960920615
DeepPavlov/rubert-base-cased,6.без слов функциональных.txt,0.9832489034451916,0.017544126345132936,0.9826555494113873,0.018014824368972157,0.9996483255619358,0.0003182174607402668
sberbank-ai/rugpt3small_based_on_gpt2,6.без слов функциональных.txt,0.8968555308812274,0.06231234188205916,0.8947050792158334,0.061198275539008036,0.9903284226253155,0.009974953843032923
distilbert-base-multilingual-cased,6.без слов функциональных.txt,0.8022554249621514,0.14565395150752916,0.7227249788027154,0.2482843618724782,0.9511286794185078,0.04305716165997653
facebook/opt-125m,6.без слов функциональных.txt,0.7265149945832378,0.03842786806172239,0.7252864043302983,0.03796034213428346,0.8731873924039926,0.03545943162449615
gpt2,6.без слов функциональных.txt,0.6969762756757635,0.03495401945627959,0.6944588128218676,0.03567315854777386,0.8347005340973143,0.030298649375676664
roberta-base,6.без слов функциональных.txt,0.6565357464029429,0.02495604633406976,0.5722864752000084,0.1302060279976746,0.7941713053548284,0.08758796546427079
xlm-roberta-base,6.без слов функциональных.txt,0.6123093819156764,0.11546948227623978,0.5886406709093938,0.13896174284534665,0.8440738865729975,0.07808302742577594
xlnet-base-cased,6.без слов функциональных.txt,0.5790353048646626,0.09655365977490435,0.567890044831567,0.10569545110007948,0.7143230948748612,0.07121139645731517
DeepPavlov/rubert-base-cased,"5.без клауз, включающих местоимения.txt",0.9929249043149317,0.007247526260512433,0.9924653682788792,0.007720921448217693,0.9995400156295483,0.00039409421122350537
bert-base-multilingual-cased,"5.без клауз, включающих местоимения.txt",0.9855235642450456,0.013523990762959532,0.98473946164577,0.014213307818581947,0.9991707139296272,0.0007057456738111583
sberbank-ai/rugpt3small_based_on_gpt2,"5.без клауз, включающих местоимения.txt",0.9800058945001334,0.010094331141375486,0.9790297182167312,0.010836701588465563,0.9972562937110574,0.0025108553342111125
facebook/opt-125m,"5.без клауз, включающих местоимения.txt",0.916940187362057,0.04360481655152225,0.9140781663120917,0.04312095558829342,0.9775097300498672,0.005920803387652024
gpt2,"5.без клауз, включающих местоимения.txt",0.9078348130846128,0.021521641691172405,0.902429190112212,0.023057262088269272,0.9675216276890093,0.013429503118129313
distilbert-base-multilingual-cased,"5.без клауз, включающих местоимения.txt",0.8957222593960168,0.029799741980233843,0.8829571920650778,0.034296328919732125,0.9298234680751157,0.08239655393282694
roberta-base,"5.без клауз, включающих местоимения.txt",0.8422391361910831,0.10864285799959915,0.8007655645619386,0.19054405378430025,0.9362682471979339,0.031089371361210896
xlm-roberta-base,"5.без клауз, включающих местоимения.txt",0.7683574037510722,0.16213694566760142,0.650985307270727,0.27492556123733936,0.915466311784417,0.08336436454417513
xlnet-base-cased,"5.без клауз, включающих местоимения.txt",0.6719437366090816,0.03006091882311286,0.6125693524566668,0.100231449824416,0.7688626484950105,0.026065735883331217
DeepPavlov/rubert-base-cased,"4.Первый жанр без клауз, включающих глаголы и наречия",0.9800516058259205,0.010286684971110663,0.9766132111897935,0.012154601210289972,0.9987532075480092,0.001239590731486524
bert-base-multilingual-cased,"4.Первый жанр без клауз, включающих глаголы и наречия",0.9691177445078013,0.019881779419548908,0.9650442648078746,0.022035103282888303,0.9991523041752076,0.0003392112345114005
sberbank-ai/rugpt3small_based_on_gpt2,"4.Первый жанр без клауз, включающих глаголы и наречия",0.9680875692668206,0.008990637431103041,0.9620882311570655,0.011699358069785367,0.9958927855472876,0.0031042622018729784
distilbert-base-multilingual-cased,"4.Первый жанр без клауз, включающих глаголы и наречия",0.93749708662923,0.025560003141798498,0.9236259993817741,0.03519575875887574,0.970107647592978,0.023973381765819195
facebook/opt-125m,"4.Первый жанр без клауз, включающих глаголы и наречия",0.9000546583436195,0.02934148838058302,0.8874145403874073,0.02909372883466593,0.974294034720013,0.0072505475295725616
gpt2,"4.Первый жанр без клауз, включающих глаголы и наречия",0.8591753141313497,0.04646573585132767,0.8473067622764474,0.04324315695284439,0.9643728640957008,0.01669707854405093
xlm-roberta-base,"4.Первый жанр без клауз, включающих глаголы и наречия",0.8484556125612261,0.12023446175471798,0.7498772611654978,0.2449068222056603,0.8529032079014014,0.25150442464715744
roberta-base,"4.Первый жанр без клауз, включающих глаголы и наречия",0.7186462870926037,0.10840937735878856,0.5647779065384517,0.18317292663212217,0.8655841556880337,0.028106563469918095
xlnet-base-cased,"4.Первый жанр без клауз, включающих глаголы и наречия",0.6905419247356677,0.026226154284441472,0.6003295607471074,0.09333009014993617,0.751158421873167,0.03305014172342056
DeepPavlov/rubert-base-cased,"3.Первый жанр без клауз, включающих глаголы",0.9767746408303107,0.01880072642652609,0.9747640889282945,0.020135186305844613,0.9993666796187931,0.0007797282956897015
bert-base-multilingual-cased,"3.Первый жанр без клауз, включающих глаголы",0.9750814329279195,0.011987931431644653,0.972648781505057,0.012952136417581769,0.9975985872335903,0.0018180069713893234
sberbank-ai/rugpt3small_based_on_gpt2,"3.Первый жанр без клауз, включающих глаголы",0.9530790478511243,0.026745885376907662,0.9497482270041795,0.026870827401658,0.997811417122615,0.0013158607320166897
facebook/opt-125m,"3.Первый жанр без клауз, включающих глаголы",0.9082431027116836,0.047155222023641294,0.9019965451857929,0.04577962073534273,0.9721630673163993,0.01322528081414103
distilbert-base-multilingual-cased,"3.Первый жанр без клауз, включающих глаголы",0.8965588623477808,0.10603252292682072,0.8463029142935529,0.20145842637857658,0.9513375961584948,0.050525515563523506
gpt2,"3.Первый жанр без клауз, включающих глаголы",0.882417951732385,0.03719809352603771,0.8721030606161492,0.035818446661150936,0.9521997036599875,0.01027421741987653
xlnet-base-cased,"3.Первый жанр без клауз, включающих глаголы",0.7012528035973039,0.046076788787375304,0.6783939348406999,0.04779432285222665,0.7748798575476491,0.034525800807687
xlm-roberta-base,"3.Первый жанр без клауз, включающих глаголы",0.697530747157933,0.07786249382305563,0.475878157778347,0.17250655532557563,0.872699474588415,0.09675787118808435
roberta-base,"3.Первый жанр без клауз, включающих глаголы",0.682792466883886,0.17769048550017702,0.6175190512189282,0.2217633067921121,0.8742670935539975,0.040596175379050685
DeepPavlov/rubert-base-cased,"2.Первый жанр без клауз, включающих наречия",0.9872587082403684,0.005280015980091757,0.9870065679378387,0.005430316389755711,0.9995643009411608,0.0006256801065131107
bert-base-multilingual-cased,"2.Первый жанр без клауз, включающих наречия",0.9782865315781143,0.02165082358179966,0.9773618125323457,0.02286550358370454,0.9985415385984892,0.001876437672589486
facebook/opt-125m,"2.Первый жанр без клауз, включающих наречия",0.9405461310610214,0.014078443054452484,0.9382399711799151,0.015769304115869145,0.9852587927556322,0.0030444565883414637
sberbank-ai/rugpt3small_based_on_gpt2,"2.Первый жанр без клауз, включающих наречия",0.9277633741907082,0.12207556673554067,0.9263576544787387,0.12434072343915253,0.9906509457726477,0.019238171248018746
gpt2,"2.Первый жанр без клауз, включающих наречия",0.8901249450079002,0.01880133246206034,0.8873632633824248,0.020150093673184932,0.9637111200417832,0.007421217509105012
distilbert-base-multilingual-cased,"2.Первый жанр без клауз, включающих наречия",0.846191404790451,0.13501852106838513,0.8136644287304732,0.1907301943782227,0.9358796700871181,0.08081446767570877
roberta-base,"2.Первый жанр без клауз, включающих наречия",0.7897689908453844,0.11015015076026882,0.7387780971970245,0.18544995074413637,0.8546924275347859,0.17747160766801395
