train_4.Первый жанр без клауз, включающих глаголы и наречия - distilbert-base-multilingual.csv
test_4.Первый жанр без клауз, включающих глаголы и наречия - distilbert-base-multilingual.csv
Epoch 1, Loss: 0.8536050149372646
Epoch 2, Loss: 0.7404632227761405
Epoch 3, Loss: 0.68368513243539
Epoch 4, Loss: 0.6890114205224174
Epoch 5, Loss: 0.6702576790537152
Epoch 6, Loss: 0.6692362598010472
Epoch 1, Loss: 0.9626102702958244
Epoch 2, Loss: 0.6830553412437439
Epoch 3, Loss: 0.6916837521961757
Epoch 4, Loss: 0.6767852306365967
Epoch 5, Loss: 0.6725115350314549
Epoch 6, Loss: 0.6741394996643066
Epoch 1, Loss: 0.9474736537252154
Epoch 2, Loss: 0.6922745364052909
Epoch 3, Loss: 0.6834726674216134
Epoch 4, Loss: 0.6909489291054862
Epoch 5, Loss: 0.6911263721329826
Epoch 6, Loss: 0.6929502742631095
Epoch 1, Loss: 0.8144211428506034
Epoch 2, Loss: 0.7064184291022164
Epoch 3, Loss: 0.6871412140982491
Epoch 4, Loss: 0.6845472455024719
Epoch 5, Loss: 0.6821620379175458
Epoch 6, Loss: 0.6670556579317365
Epoch 1, Loss: 1.0354347910199846
Epoch 2, Loss: 0.7018582395144871
Epoch 3, Loss: 0.6978917632784162
Epoch 4, Loss: 0.6984289543969291
Epoch 5, Loss: 0.681219756603241
Epoch 6, Loss: 0.6831990906170436
Epoch 1, Loss: 0.9167987193380084
Epoch 2, Loss: 0.7113967367580959
Epoch 3, Loss: 0.7012144923210144
Epoch 4, Loss: 0.7062340974807739
Epoch 5, Loss: 0.6966683353696551
Epoch 6, Loss: 0.680462292262486
